Altair Input Parameters:
M = 1.791 (msun)
R_pole = 1.634 (rsun)
T_pole = 8450 (K)
P_rot = 8.85 (hr)

------------------------------------------------------
Colatitude	Rad(rsun)	Temp (K)	log(g)
0.	1.634	8450.	4.2647384
0.062831853	1.63477523	8446.8836	4.26391411
0.12566371	1.63710191	8437.5362	4.26143904
0.18849556	1.64098288	8421.9633	4.25730654
0.25132741	1.64642253	8400.175	4.25150572
0.31415927	1.65342625	8372.1863	4.24402164
0.37699112	1.66199962	8338.0189	4.23483582
0.43982297	1.67214717	8297.7034	4.22392685
0.50265482	1.68387077	8251.2819	4.21127146
0.56548668	1.69716734	8198.8127	4.19684606
0.62831853	1.71202576	8140.3757	4.18062915
0.69115038	1.72842271	8076.0815	4.16260483
0.75398224	1.74631706	8006.0834	4.14276801
0.81681409	1.76564236	7930.5955	4.12113223
0.87964594	1.78629682	7849.9186	4.09774095
0.9424778	1.80813022	7764.4791	4.07268404
1.00530965	1.83092692	7674.8854	4.0461213
1.0681415	1.85438475	7582.0115	4.0183151
1.13097336	1.87809011	7487.1157	3.98967391
1.19380521	1.90149155	7392.0046	3.96080602
1.25663706	1.92387767	7299.2368	3.93257695
1.31946891	1.9443708	7212.33	3.90615249
1.38230077	1.96195445	7135.8603	3.88299192
1.44513262	1.97555541	7075.2489	3.86474192
1.50796447	1.98419022	7036.0001	3.85299379
1.57079633	1.98715435	7022.3756	3.84893073
1.63362818	1.98419022	7036.0001	3.85299379
1.69646003	1.97555541	7075.2489	3.86474192
1.75929189	1.96195445	7135.8603	3.88299192
1.82212374	1.9443708	7212.33	3.90615249
1.88495559	1.92387767	7299.2368	3.93257695
1.94778745	1.90149155	7392.0046	3.96080602
2.0106193	1.87809011	7487.1157	3.98967391
2.07345115	1.85438475	7582.0115	4.0183151
2.136283	1.83092692	7674.8854	4.0461213
2.19911486	1.80813022	7764.4791	4.07268404
2.26194671	1.78629682	7849.9186	4.09774095
2.32477856	1.76564236	7930.5955	4.12113223
2.38761042	1.74631706	8006.0834	4.14276801
2.45044227	1.72842271	8076.0815	4.16260483
2.51327412	1.71202576	8140.3757	4.18062915
2.57610598	1.69716734	8198.8127	4.19684606
2.63893783	1.68387077	8251.2819	4.21127146
2.70176968	1.67214717	8297.7034	4.22392685
2.76460154	1.66199962	8338.0189	4.23483582
2.82743339	1.65342625	8372.1863	4.24402164
2.89026524	1.64642253	8400.175	4.25150572
2.95309709	1.64098288	8421.9633	4.25730654
3.01592895	1.63710191	8437.5362	4.26143904
3.0787608	1.63477523	8446.8836	4.26391411
3.14159265	1.634	8450.	4.2647384
